ticker,user,fields,schedule,enabled,owner,currency,kind,curve_code,tenor,notes
CDSO1Z BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,1W,
CDSO2Z BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,2W,
CDSOA BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,4W,
CDSOB BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,2M,
CDSOC BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,3M,
CDSOD BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,4M,
CDSOE BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,5M,
CDSOF BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,6M,
CDSOI BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,9M,
CDSO1 BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,1Y,
CDSO2 BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,2Y,
CDSO3 BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,3Y,
CDSO4 BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,4Y,
CDSO5 BGN CURNCY,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,5Y,
SRFXON3 INDEX,shared_term,PX_LAST,daily,true,AD,CHF,OIS,CHF-SARON-ON,0,
SFSNT1Z CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CHF,OIS,CHF-SARON-ON,1W,
SFSNT2Z CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CHF,OIS,CHF-SARON-ON,2W,
SFSNTA CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CHF,OIS,CHF-SARON-ON,4W,
SFSNTB CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CHF,OIS,CHF-SARON-ON,2M,
SFSNTC CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CHF,OIS,CHF-SARON-ON,3M,
SFSNTD CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CHF,OIS,CHF-SARON-ON,4M,
SFSNTE CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CHF,OIS,CHF-SARON-ON,5M,
